"slug","vehicleName","yearRange","fuel","currentMatchedBattery","matchedSource","customerVisible","riskLevel","reason","needsReview"
"grandeur-tg","그랜저 TG","2005-2011","가솔린 | LPG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-hg","그랜저 HG","2011-2016","가솔린 | 디젤 | LPG | 하이브리드","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-ig","그랜저 IG","2016-2019","가솔린 | 디젤 | LPG | 하이브리드","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-enrichment.json | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-ig-fl","더 뉴 그랜저 IG","2019-2022","가솔린 | 디젤 | LPG | 하이브리드","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"grandeur-gn7","디 올 뉴 그랜저","2022-현재","가솔린/디젤/HEV/LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | platform-catalog.ts","true","medium","이미지 파일명(grandeur_new.png)과 slug stem 불일치","true"
"sonata-nf","쏘나타 NF","2004-2010","가솔린 | 디젤 | LPG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sonata-yf","YF 쏘나타","2009-2014","가솔린 | LPG | 하이브리드","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sonata-lf","LF 쏘나타","2014-2019","가솔린 | 디젤 | LPG | 하이브리드 | 터보/ISG","80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sonata-dn8","쏘나타 DN8","2019-2023","가솔린 | LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","medium","catalogId(sonata) ≠ slug(sonata-dn8)","true"
"sonata-edge","쏘나타 디 엣지","2023-현재","가솔린 | LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"avante-hd","아반떼 HD","2006-2010","가솔린 | 디젤 | LPG | 하이브리드","60AL","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"avante-md","아반떼 MD","2010-2015","가솔린 | 디젤 | LPG | 디젤 ISG","DIN62L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"avante-ad","아반떼 AD","2015-2020","가솔린 | 디젤 | LPG | ISG","DIN62L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"avante-cn7","아반떼 CN7","2020-2023","가솔린 | LPG","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"avante-cn7-fl","더 뉴 아반떼","2023-현재","가솔린 | 디젤 | LPG","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"tucson-jm","투싼","2004-2009","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"tucson-lm","투싼 ix","2009-2015","가솔린 | 디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"tucson-tl","올 뉴 투싼","2015-2020","가솔린 | 디젤 | LPG | ISG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"tucson-nx4","투싼 4세대","2020-2023","가솔린 | 디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"tucson-nx4-fl","더 뉴 투싼","2023-현재","가솔린 | 디젤","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"santafe-cm","싼타페 CM","2006-2012","가솔린 | 디젤","90L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"santafe-dm","싼타페 DM","2012-2018","가솔린 | 디젤 | 일반/초기","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"santafe-tm","싼타페 TM","2018-2023","가솔린 | 디젤","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","medium","catalogId(santa-fe) ≠ slug(santafe-tm)","true"
"santafe-mx5","디 올 뉴 싼타페","2023-현재","가솔린 | 하이브리드","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"santafe-mx5-hev","싼타페 하이브리드","2023-현재","가솔린 | 하이브리드","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"palisade-lx2","팰리세이드","2019-2022","가솔린 | 디젤","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","medium","catalogId(palisade) ≠ slug(palisade-lx2)","true"
"palisade-lx2-fl","더 뉴 팰리세이드","2022-2024","가솔린 | 디젤","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"palisade-lx3","디 올 뉴 팰리세이드","2024-현재","가솔린 | 디젤","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"staria-us4","스타리아","2021-현재","디젤 | LPG","AGM80R","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-enrichment.json | vehicle-battery-db.json","true","medium","이미지 파일명(staria_lounge.png)과 slug stem 불일치","true"
"kona-os","코나","2017-2023","가솔린 | 디젤 | 하이브리드 | 전기","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"kona-sx2","디 올 뉴 코나","2023-현재","가솔린 | 하이브리드 | 전기","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"ioniq5-ne","아이오닉5","2021-현재","전기","ev_low_voltage_battery","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | platform-catalog.ts","true","medium","catalogId(ioniq5) ≠ slug(ioniq5-ne)","true"
"ioniq6-ce","아이오닉6","2022-현재","전기","ev_low_voltage_battery","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode","true","low","운영 차종표·이미지·이름 정합","false"
"porter2-old","포터2","2011-2020","디젤","90R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"porter2-new","포터2 2020년형 이후","2020-현재","디젤 | LPG","100R","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-enrichment.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"porter2-ev","포터2 EV","2019-현재","전기","80L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-user-confirmed.json | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"k5-tf","K5 1세대","2009-2015","가솔린 | 디젤 | LPG | 하이브리드","80L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"k5-jf","K5 2세대","2015-2019","가솔린 | 디젤 | LPG | 하이브리드 | 일반 | ISG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"k5-dl3","K5 3세대","2019-2023","가솔린 | LPG","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"k5-dl3-fl","더 뉴 K5","2023-현재","가솔린 | LPG | 하이브리드","DIN74L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"k8-gl3","K8","2021-2024","가솔린 | LPG | 하이브리드 | 2.5 가솔린 | 3.5 가솔린","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"k8-gl3-fl","더 뉴 K8","2024-현재","가솔린 | LPG | 하이브리드 | 2.5 가솔린 | 3.5 가솔린","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"seltos-sp2","셀토스","2019-2023","가솔린 | 디젤","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json | platform-catalog.ts","true","medium","catalogId(seltos) ≠ slug(seltos-sp2)","true"
"seltos-sp2-fl","더 뉴 셀토스","2023-현재","가솔린 | 디젤","AGM60L","OPERATOR_SLUG_PRIMARY_BATTERY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sportage-sl","스포티지 R","2004-2010","가솔린 | 디젤 | LPG","90R","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sportage-ql","스포티지 4세대","2015-2020","가솔린 | 디젤 | LPG","AGM80L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sportage-nq5","스포티지 5세대","2021-2023","가솔린 | 디젤 | LPG | 하이브리드","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sportage-nq5-fl","더 뉴 스포티지","2023-현재","가솔린 | 디젤 | LPG | 하이브리드","AGM70L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sorento-xm","쏘렌토 R","2009-2014","가솔린 | 디젤 | LPG | 하이브리드","90L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sorento-um","올 뉴 쏘렌토","2014-2017","가솔린 | 디젤 | LPG | 하이브리드","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sorento-um-fl","더 뉴 쏘렌토","2017-2020","가솔린 | 디젤 | 하이브리드","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"sorento-mq4","쏘렌토 4세대","2020-2023","가솔린 | 디젤 | 하이브리드","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-enrichment.json | vehicle-battery-db.json | platform-catalog.ts","true","low","운영 차종표·이미지·이름 정합","false"
"sorento-mq4-fl","더 뉴 쏘렌토","2023-현재","가솔린 | 디젤 | 하이브리드","AGM95L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | asset.defaultBatteryCode | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
"carnival-vq","그랜드 카니발","2006-2014","디젤 | LPG","100L","OPERATOR_SLUG_PRIMARY_BATTERY | OPERATOR_FUEL_PRIMARY | vehicle-battery-db.json","true","low","운영 차종표·이미지·이름 정합","false"
