slug,brand,displayName,yearRange,status,representativeBattery,fuelMap,customerHeroBattery,customerCardDisplay,source,catalogMatch
chevrolet-malibu-2019,chevrolet-gmdaewoo,더 뉴 말리부,2019-2022,matched,AGM70L,"{""일반"":""DIN74L"",""스마트충전"":""AGM70L""}",AGM70L,AGM70L,operator_slug_primary,true
gmdaewoo-winstorm-2006,chevrolet-gmdaewoo,윈스톰,2006-2011,matched,DIN100L,,DIN100L,DIN100L,operator_slug_primary,true
chevrolet-captiva-2011,chevrolet-gmdaewoo,캡티바,2011-2016,matched,DIN100L,,DIN100L,DIN100L,operator_slug_primary,true
chevrolet-captiva-2016,chevrolet-gmdaewoo,더 넥스트 캡티바,2016-2018,matched,DIN100L,,DIN100L,DIN100L,operator_slug_primary,true
chevrolet-trax-2013,chevrolet-gmdaewoo,트랙스,2013-2016,matched,DIN62L,"{""가솔린"":""DIN62L"",""디젤"":""DIN74L""}",DIN62L,DIN62L,operator_slug_primary,true
chevrolet-trax-2017,chevrolet-gmdaewoo,더 뉴 트랙스,2017-2022,matched,DIN62L,"{""가솔린"":""DIN62L"",""디젤"":""DIN74L""}",DIN62L,DIN62L,operator_slug_primary,true
chevrolet-trax-crossover-2023,chevrolet-gmdaewoo,트랙스 크로스오버,2023-현재,matched,DIN62L,,DIN62L,DIN62L,operator_slug_primary,true
chevrolet-trailblazer-2020,chevrolet-gmdaewoo,트레일블레이저,2020-2023,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
chevrolet-trailblazer-2024,chevrolet-gmdaewoo,트레일블레이저,2024-현재,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
chevrolet-orlando-2011,chevrolet-gmdaewoo,올란도,2011-2018,matched,DIN90L,,DIN90L,DIN90L,operator_slug_primary,true
chevrolet-aveo-2011,chevrolet-gmdaewoo,아베오,2011-2015,matched,DIN62L,,DIN62L,DIN62L,operator_slug_primary,true
gmdaewoo-gentra-x-2007,chevrolet-gmdaewoo,젠트라 X,2007-2011,matched,60R,,60R,60R,operator_slug_primary,true
daewoo-tosca-2006,chevrolet-gmdaewoo,토스카,2006-2011,matched,80R,,80R,80R,operator_slug_primary,true
gmdaewoo-alpheon-2010,chevrolet-gmdaewoo,알페온,2010-2015,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
chevrolet-impala-2016,chevrolet-gmdaewoo,임팔라,2016-2020,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
chevrolet-equinox-2018,chevrolet-gmdaewoo,이쿼녹스,2018-2021,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
chevrolet-equinox-2022,chevrolet-gmdaewoo,이쿼녹스,2022-현재,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
chevrolet-traverse-2019,chevrolet-gmdaewoo,트래버스,2019-현재,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
chevrolet-colorado-2019,chevrolet-gmdaewoo,콜로라도,2019-2020,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
chevrolet-colorado-2021,chevrolet-gmdaewoo,콜로라도,2021-현재,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
gmdaewoo-labo-2011,chevrolet-gmdaewoo,라보,2011-현재,matched,50L,,50L,50L,operator_slug_primary,true
gmdaewoo-damas-2011,chevrolet-gmdaewoo,다마스,2011-현재,matched,50L,,50L,50L,operator_slug_primary,true
chevrolet-bolt-ev-2017,chevrolet-gmdaewoo,볼트 EV,2017-현재,matched,AGM50L,,AGM50L,AGM50L,operator_slug_primary,true
